"Group","n","shannon_mean","shannon_median","observed_median"
"IBS_before",36,1.54761922166264,1.64592286562435,17.5
"IBS_after",36,1.50473200348881,1.62516329794963,17.5
"UC_before",29,1.50105825341398,1.56992708163325,15
"UC_after",29,1.38255454795418,1.44288566349102,16
