"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Mir221","Group_safe",0.766131542022649,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.813153366979902,-0.298400613541313
"Mir222","Group_safe",0.757159493127648,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.69760447198405,0.763500361848771
"Mir22hg","Group_safe",0.113574997461951,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.890557212221955,-0.167219797274643
"Mir23a","Group_safe",0.949247197372965,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.979220037383009,-0.0302950152704694
"Mir24-2","Group_safe",0.802435051622146,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.956763530762844,-0.063765695934882
"Mir25","Group_safe",0.512239861030321,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.767238907588122,-0.382252211912499
"Mir26a-1","Group_safe",0.550129602728292,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.376202679908794,-1.4104179688403
"Mir26b","Group_safe",0.978936770410564,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.04507576831649,0.0636075419347127
"Mir27a","Group_safe",0.543802711240349,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.30147431151084,0.380146836120309
"Mir296","Group_safe",0.60004803889915,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.54229982896935,0.625083257936888
"Mir301","Group_safe",0.964159048232937,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.03436124731093,0.048740130222487
"Mir3058","Group_safe",0.94947747053162,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.0605720768356,0.0848426702411978
"Mir3060","Group_safe",0.904965207789454,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.03992659532946,0.0564816973167053
"Mir3061","Group_safe",0.0806173451733092,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.712821445037524,-0.488387354290305
"Mir3064","Group_safe",0.249140235594963,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.843073028304118,-0.246270489806665
"Mir3068","Group_safe",0.748621171117543,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.832545292853813,-0.264399333816848
"Mir3076","Group_safe",0.993369225172721,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.98843824973539,-0.0167772549654625
"Mir3091","Group_safe",0.635552767409254,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.756199230889178,-0.403161712889553
"Mir30c-1","Group_safe",0.749315985451901,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.5792518042191,-0.78773746216948
"Mir31","Group_safe",0.961273056145727,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.01409500932571,0.0201928230137419
"Mir3100","Group_safe",0.688216272493951,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.41124756565266,0.496971092407411
"Mir3101","Group_safe",0.538841025862028,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.27738331380998,0.353191510124686
"Mir3113","Group_safe",0.485525169969932,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.37040537402167,0.454602714050032
"Mir324","Group_safe",0.81038787028081,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.35240098823499,0.435522975559549
"Mir335","Group_safe",0.650469748176878,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.608949986147964,-0.715604352304702
"Mir339","Group_safe",0.181392928820463,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.283532605040817,-1.81841344640084
"Mir343","Group_safe",0.39875148811468,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",2.9586313199866,1.56492993108213
"Mir345","Group_safe",0.31918335957347,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.75051140744658,0.807776463316249
"Mir3470a","Group_safe",0.506311693261861,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.591285936271299,-0.758072131860482
